id	title	abstract	labels
1	恶魔高校DxD	我，兵藤一诚是个年龄＝没女朋友经历的高二生。这样的我也交到女朋友了！抱歉了朋友，我要先你们一步踏上大人的阶梯！照理来说应该是这样才对，为什么我会被女朋友杀死？明明什么甜头都没尝到，这个世界还有天理吗？然而全校第一美少女，莉雅丝·吉蒙里学姊救了这样的我。自称是恶魔的她，告诉我一个冲击的事实。「你已经转生变成恶魔了。为我工作吧！」在学姊的胸部和奖励的引诱之下，我身为恶魔仆人的人生就此展开。纯粹靠着气势与烦恼，校园奇幻战斗恋爱物语第一集！	奇幻 冒险 后宫 
2	果然我的青春恋爱喜剧搞错了	别扭的，没有朋友，没有女朋友，对着那些讴歌青春的同学吐槽着「他们都是骗子，都在说谎，快点爆发把我」的男主角的爱情物语，将来的梦想是「不工作」——这样的高中生八幡被生活指导老师的带到了学校第一美少女雪乃所属的「侍奉部」，与美少女意想不到的相遇……怎么想都是恋爱故事的展开吧！？但是雪乃却无论如何都原谅不了八幡那令人残念的糟糕性格！不断轮回着的充满问题的青春——我的青春，到底怎么了！？	校园 喜剧 恋爱 
3	在地下城寻求邂逅是否搞错了什么	迷宫都市欧拉丽——这是一座拥有雄伟地下迷宫（通称「地下城」）的巨大都市。名为未知的兴奋、光辉显赫的荣耀，以及与可爱女孩的罗曼史。在这人们的梦想与欲望伺机而动的城市里，少年遇见了一位小小的「神仙」。吃遍所有【眷族】的闭门羹、矢志成为冒险者的少年，与成员零名的神仙，发生了一场命运的邂逅。这是少年的轨迹、女神的纪录。	奇幻 战斗 冒险 后宫 
4	精灵使的剑舞	仅限冰清玉洁少女的特权----精灵契约。阿蕾西娅精灵学院、贵族大小姐们汇聚于此，进行着作为精灵使应受的训练，接受精英教育。少年风早神人、因一次偶然的意外窥视到学院生少女--克蕾尔洗澡时的样子、接着还被要求代替精灵与之缔结契约。就这样，神人成为了这个世界本不可能存在的、男性精灵使啦！「你、你……要负起夺走我……我的精灵的责任哦！」「哈？」「你，就做我的契约精灵吧！」被投入温室之花般大小姐学院之中的神人的命运会是？刻印之光・元素幻想！	奇幻 恋爱 喜剧 校园 后宫 
5	问题儿童都来自异世界?	对世界已经厌烦的逆回十六夜收到了一封邀请函。当他看清信中内容写着：「望你舍弃一切，前来『箱庭』」的瞬间──他来到了完美无缺的异世界！眼前是带着猫的沉默少女与态度高傲的大小姐，还有召唤他们的罪魁祸首──黑兔。当黑兔正在说明箱庭世界的规则时，十六夜却突然表示：「来打倒魔王吧！」!?黑兔没有拜托你做那种事情呀!!三个超级问题儿和黑兔的明天将会前往何方？	奇幻 喜剧 
6	关于我转生变成史莱姆这档事	三上悟过著不起眼的人生，在随机杀人魔肆虐下结束了三十七年生涯……看似如此。当他苏醒时，不仅眼睛看不见，就连耳朵也听不到……面对一连串突发状况，他意识到自己投胎转世成「史莱姆」！尽管变成最弱魔物让他颇有怨言，三上悟还是决定要快乐地过史莱姆生活，没想到却碰上天灾级魔物「暴风龙维尔德拉」，命运就此出现巨大转折──维尔德拉将他命名为「利姆路」，正要展开史莱姆式的异世界新生活时，却被卷入哥布灵对牙狼族的纷争之中，最后还莫名其妙当上魔物大王……能夺取对手能力的「捕食者」以及精通世界真理的「大贤者」，有这两项特殊技能当武器，最强的史莱姆传说正式展开！	冒险 奇幻 喜剧 史莱姆 
7	Campione!	草薙护堂，他是一位弑神之人。弑神之人能够篡夺神的权能。而拥有那种力量的王者，我们称他们为「Campione—弑神者—」，同时他们也被称为霸王或是魔王。拥有这些秘密的高中生护堂，期盼的只是平淡无奇的日常生活而已。但是自称护堂爱人的魔术师·艾莉卡，却让他卷入与荒神的邂逅!?此外媛巫女·佑理也逼近护堂!?这场编织出全新神话故事的幻想大战在此拉开序幕!	奇幻 后宫 
8	欢迎来到实力至上主义的教室	真正的实力、平等究竟为何？几乎百分之百实现升学、就业目标的全国首屈一指的名校──高度育成高中。这间简直如同乐园般的学校，真面目却是唯有优秀者才能享受优待的实力至上主义学校！绫小路清隆被分配到最底层的D班，在那里，他遇见了成绩优异个性却超难搞的美少女──堀北铃音，和由体贴与温柔所构成、天使般的少女──栉田桔梗。与她们的相遇，使清隆的态度逐渐产生改变……	校园 青春 悬疑 战斗 这本轻小说真厉害！2020 
9	游戏人生No game No life	空与白既是尼特族又是家里蹲，但是在网路上却是被奉为都市传说的天才游戏玩家兄妹。称世界为「烂游戏」的两人，某一天被自称是『神』的少年召唤至异世界，那是个战争为神所禁止，只能『用游戏决定一切』的世界——没错，甚至连国界也是一样。被其他种族逼至绝境，只剩下最后都市的『人类种』，空与白这两个废人兄妹能够成为异世界的『人类救世主』吗？『……来吧，开始游戏吧。』	冒险 喜剧 奇幻 哲学 
10	我女友与青梅竹马的惨烈修罗场	情同妹妹的可爱青梅竹马──千和：「我绝不允许！不要不要！你凭什么和他交往！」一头银发的海外归国千金小姐──真凉：「哎哟，像你这种青梅竹马，难道也有决定交往的权力？」──哇塞，怎么会变成这样？我明明期待过着安稳的高中生活，却因为和真凉拥有共同的＜秘密＞，被强迫当她的男友了！醋劲大发的千和大叫：「我也要受到大家欢迎！」真凉心里似乎有了盘算，微笑着说：「不然让我们来帮你吧？」莫名其妙地被拉去帮忙千和交男友，身陷危机的我，究竟命运会如何？	恋爱 喜剧 后宫 
